1.000000 1.000000
0.422944 0.996031
0.342301 0.991764
0.295786 0.986802
0.263899 0.981345
0.240328 0.976879
0.221179 0.973059
0.206425 0.968643
0.193588 0.964178
0.182529 0.959911
0.172422 0.955396
0.163905 0.950930
0.155752 0.947358
0.148200 0.943091
0.141850 0.939866
0.135776 0.936443
0.129864 0.932523
0.124942 0.928306
0.120496 0.923989
0.115737 0.919424
0.111604 0.914959
0.107433 0.909898
0.103526 0.905979
0.100219 0.901811
0.096625 0.898387
0.093406 0.894021
0.090287 0.889556
0.087282 0.885686
0.084426 0.881369
0.081708 0.877053
0.078552 0.872885
0.076122 0.868023
0.074043 0.864451
0.071889 0.859886
0.069597 0.856462
0.067268 0.851947
0.065064 0.847383
0.063072 0.843364
0.060931 0.838402
0.058877 0.833987
0.056848 0.829075
0.055320 0.824510
0.053516 0.820293
0.051876 0.816224
0.050197 0.812057
0.048657 0.807591
0.047129 0.801836
0.045551 0.797867
0.043948 0.792558
0.042545 0.787348
0.041155 0.782039
0.039990 0.776681
0.038637 0.770330
0.037310 0.764078
0.036007 0.758621
0.034755 0.752865
0.033515 0.747259
0.032463 0.741751
0.031135 0.736046
0.029883 0.729893
0.028868 0.723046
0.028079 0.716348
0.027115 0.710047
0.026063 0.703299
0.025086 0.696651
0.024072 0.689010
0.023245 0.682064
0.022105 0.674721
0.021279 0.668221
0.020339 0.659935
0.019388 0.651947
0.018361 0.642917
0.017371 0.632449
0.016520 0.622873
0.015630 0.613247
0.014879 0.604317
0.013965 0.593352
0.013213 0.582932
0.012412 0.572116
0.011597 0.560705
0.010871 0.548003
0.010145 0.535450
0.009481 0.522501
0.008617 0.506624
0.007978 0.491491
0.007252 0.476259
0.006625 0.460084
0.006037 0.441677
0.005285 0.423369
0.004722 0.402778
0.004221 0.379558
0.003532 0.357132
0.002931 0.332324
0.002405 0.304639
0.001954 0.272736
0.001553 0.237906
0.001127 0.200050
0.000701 0.158472
0.000263 0.106177
0.000075 0.048077
0.000000 0.000000
